time,temperature_2m (°C),rain (mm),snowfall (cm),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),soil_temperature_0cm (°C)
2023-07-01T00:00,12.0,0.00,0.00,11.9,13,20.9,12.9
2023-07-01T01:00,11.9,0.00,0.00,15.1,9,24.5,12.9
2023-07-01T02:00,11.8,0.00,0.00,17.6,15,28.8,12.9
2023-07-01T03:00,12.0,0.00,0.00,16.6,5,27.0,12.9
2023-07-01T04:00,12.3,0.00,0.00,17.6,1,28.8,13.4
2023-07-01T05:00,12.6,0.00,0.00,17.3,2,29.5,14.0
2023-07-01T06:00,13.9,0.00,0.00,12.2,10,25.9,14.4
2023-07-01T07:00,15.4,0.00,0.00,13.0,20,23.0,15.9
2023-07-01T08:00,16.7,0.00,0.00,13.7,33,24.5,17.0
2023-07-01T09:00,17.2,0.00,0.00,13.3,11,24.5,18.8
2023-07-01T10:00,18.0,0.00,0.00,16.9,5,29.9,19.4
2023-07-01T11:00,18.2,0.00,0.00,20.9,9,36.0,19.4
2023-07-01T12:00,18.5,0.00,0.00,21.2,11,36.7,19.6
2023-07-01T13:00,19.0,0.00,0.00,21.2,17,37.1,19.7
2023-07-01T14:00,19.3,0.00,0.00,23.4,19,39.6,19.7
2023-07-01T15:00,19.3,0.00,0.00,21.2,19,37.1,19.4
2023-07-01T16:00,20.7,0.00,0.00,21.2,15,37.1,18.8
2023-07-01T17:00,19.8,0.00,0.00,18.7,17,36.0,17.8
2023-07-01T18:00,18.9,0.00,0.00,16.6,10,33.8,17.3
2023-07-01T19:00,18.4,0.00,0.00,12.2,13,27.7,16.5
2023-07-01T20:00,18.5,0.00,0.00,11.5,5,19.8,15.7
2023-07-01T21:00,17.6,0.00,0.00,6.1,65,16.9,14.8
2023-07-01T22:00,16.9,0.00,0.00,6.8,100,12.2,14.3
2023-07-01T23:00,16.4,0.00,0.00,8.6,90,13.0,14.1
2023-07-02T00:00,16.3,0.00,0.00,8.3,92,11.9,14.1
2023-07-02T01:00,16.4,0.00,0.00,8.3,94,12.2,13.7
2023-07-02T02:00,16.7,0.00,0.00,7.6,107,11.9,13.9
2023-07-02T03:00,16.6,0.00,0.00,6.1,97,10.4,14.8
2023-07-02T04:00,17.2,0.00,0.00,5.8,120,9.4,15.4
2023-07-02T05:00,17.8,0.00,0.00,3.6,120,9.0,15.8
2023-07-02T06:00,18.0,0.00,0.00,2.9,172,7.2,17.1
2023-07-02T07:00,17.0,0.00,0.00,3.2,162,8.3,16.5
2023-07-02T08:00,16.9,0.00,0.00,7.2,340,13.0,17.0
2023-07-02T09:00,17.6,0.00,0.00,11.5,357,19.4,17.5
2023-07-02T10:00,16.9,0.00,0.00,15.1,9,25.2,17.7
2023-07-02T11:00,17.3,0.10,0.00,13.3,7,25.6,17.3
2023-07-02T12:00,19.0,0.10,0.00,9.0,58,23.0,18.5
2023-07-02T13:00,19.0,0.00,0.00,12.2,52,25.2,19.0
2023-07-02T14:00,18.9,0.00,0.00,11.5,62,25.6,18.6
2023-07-02T15:00,19.3,0.00,0.00,8.6,80,21.2,18.5
2023-07-02T16:00,19.2,0.00,0.00,5.8,106,18.4,18.2
2023-07-02T17:00,18.6,0.00,0.00,5.0,171,14.0,17.7
2023-07-02T18:00,17.0,0.10,0.00,6.5,316,11.9,16.9
2023-07-02T19:00,15.9,0.00,0.00,8.6,54,14.4,16.0
2023-07-02T20:00,15.1,0.00,0.00,15.8,72,26.3,15.2
2023-07-02T21:00,14.3,0.00,0.00,15.8,70,26.3,14.5
2023-07-02T22:00,13.7,0.00,0.00,14.4,72,26.3,13.9
2023-07-02T23:00,13.1,0.00,0.00,12.2,77,23.8,13.4
2023-07-03T00:00,12.8,0.00,0.00,12.2,74,24.8,13.2
2023-07-03T01:00,12.4,0.00,0.00,13.7,67,23.0,12.9
2023-07-03T02:00,12.4,0.00,0.00,14.0,76,24.1,12.8
2023-07-03T03:00,12.3,0.00,0.00,13.7,77,24.1,12.9
2023-07-03T04:00,12.7,0.00,0.00,12.2,75,23.0,13.0
2023-07-03T05:00,12.8,0.00,0.00,8.6,86,20.2,13.3
2023-07-03T06:00,12.7,0.00,0.00,8.3,110,16.2,13.4
2023-07-03T07:00,13.9,0.00,0.00,9.4,108,17.3,14.2
2023-07-03T08:00,14.9,0.00,0.00,9.4,104,17.6,15.0
2023-07-03T09:00,14.8,0.60,0.00,12.2,106,20.9,15.3
2023-07-03T10:00,14.3,0.00,0.00,18.0,128,31.0,15.3
2023-07-03T11:00,13.7,1.10,0.00,14.8,165,33.8,15.8
2023-07-03T12:00,12.8,2.80,0.00,4.7,214,25.9,16.1
2023-07-03T13:00,12.7,0.00,0.00,2.2,100,8.3,15.7
2023-07-03T14:00,13.8,0.00,0.00,19.1,156,34.9,15.0
2023-07-03T15:00,15.5,0.00,0.00,6.5,164,16.2,15.2
2023-07-03T16:00,15.6,0.00,0.00,7.9,95,15.5,15.0
2023-07-03T17:00,15.4,0.10,0.00,9.7,129,23.8,14.8
2023-07-03T18:00,15.5,0.00,0.00,9.7,86,16.9,15.0
2023-07-03T19:00,15.7,0.00,0.00,7.9,102,16.9,14.8
2023-07-03T20:00,15.5,0.00,0.00,6.1,101,13.0,14.2
2023-07-03T21:00,14.8,0.00,0.00,5.4,81,9.4,13.5
2023-07-03T22:00,14.4,0.00,0.00,4.3,93,9.4,13.1
2023-07-03T23:00,13.8,0.00,0.00,6.8,92,10.1,12.8
2023-07-04T00:00,13.4,0.00,0.00,6.8,135,10.1,12.3
2023-07-04T01:00,13.2,0.00,0.00,5.0,203,9.7,12.1
2023-07-04T02:00,12.7,0.00,0.00,2.5,158,7.2,12.2
2023-07-04T03:00,12.8,0.00,0.00,1.1,269,3.6,12.8
2023-07-04T04:00,14.0,0.00,0.00,1.8,280,3.2,13.8
2023-07-04T05:00,14.2,0.00,0.00,5.0,318,9.7,14.5
2023-07-04T06:00,14.7,0.00,0.00,5.0,335,12.2,15.3
2023-07-04T07:00,16.1,0.00,0.00,7.2,328,14.8,16.1
2023-07-04T08:00,16.8,0.00,0.00,8.6,312,17.3,16.4
2023-07-04T09:00,17.0,0.00,0.00,11.2,308,22.3,16.4
2023-07-04T10:00,17.1,0.00,0.00,11.9,305,23.0,16.9
2023-07-04T11:00,17.7,0.00,0.00,12.6,305,24.8,16.9
2023-07-04T12:00,17.3,0.00,0.00,14.4,320,27.4,18.0
2023-07-04T13:00,16.7,0.00,0.00,15.5,330,28.4,18.3
2023-07-04T14:00,16.1,0.00,0.00,16.2,335,29.2,17.5
2023-07-04T15:00,16.1,0.00,0.00,14.8,334,30.2,17.2
2023-07-04T16:00,14.8,0.00,0.00,14.0,328,27.4,16.6
2023-07-04T17:00,13.7,0.00,0.00,14.8,321,25.9,15.9
2023-07-04T18:00,13.0,0.00,0.00,14.8,311,26.3,15.2
2023-07-04T19:00,12.4,0.00,0.00,14.0,306,25.6,14.5
2023-07-04T20:00,12.1,0.00,0.00,15.1,295,25.6,13.8
2023-07-04T21:00,11.8,0.00,0.00,15.1,298,25.6,13.1
2023-07-04T22:00,11.6,0.00,0.00,14.8,295,25.6,12.7
2023-07-04T23:00,11.5,0.00,0.00,14.0,293,24.8,12.4
2023-07-05T00:00,11.4,0.00,0.00,14.0,284,23.0,12.3
2023-07-05T01:00,11.2,0.00,0.00,13.3,287,23.8,12.0
2023-07-05T02:00,11.0,0.00,0.00,13.0,292,22.3,12.0
2023-07-05T03:00,11.3,0.00,0.00,13.0,288,22.0,12.2
2023-07-05T04:00,11.8,0.00,0.00,13.7,290,23.4,12.6
2023-07-05T05:00,12.4,0.00,0.00,14.0,290,24.8,13.2
2023-07-05T06:00,13.0,0.00,0.00,14.0,287,25.9,13.7
2023-07-05T07:00,13.6,0.00,0.00,13.3,293,25.6,15.1
2023-07-05T08:00,14.4,0.00,0.00,14.0,297,26.3,14.5
2023-07-05T09:00,14.7,0.00,0.00,12.6,304,25.9,16.4
2023-07-05T10:00,16.1,0.00,0.00,12.6,289,25.6,17.0
2023-07-05T11:00,16.6,0.00,0.00,11.2,292,25.2,17.5
2023-07-05T12:00,16.6,0.00,0.00,9.4,302,22.0,17.6
2023-07-05T13:00,16.5,0.00,0.00,9.4,297,22.0,17.7
2023-07-05T14:00,16.5,0.00,0.00,10.4,290,23.0,17.8
2023-07-05T15:00,16.6,0.00,0.00,9.7,295,21.6,17.7
2023-07-05T16:00,16.6,0.00,0.00,10.1,299,22.0,17.0
2023-07-05T17:00,16.0,0.00,0.00,10.1,317,22.0,16.3
2023-07-05T18:00,16.0,0.00,0.00,9.4,333,20.2,15.7
2023-07-05T19:00,15.1,0.00,0.00,9.0,343,18.7,14.6
2023-07-05T20:00,13.9,0.00,0.00,9.0,352,16.9,13.7
2023-07-05T21:00,13.1,0.00,0.00,7.2,9,14.0,12.5
2023-07-05T22:00,12.3,0.00,0.00,5.0,24,11.5,11.9
2023-07-05T23:00,11.2,0.00,0.00,4.7,42,7.9,11.4
2023-07-06T00:00,10.7,0.00,0.00,3.6,51,6.8,11.0
2023-07-06T01:00,10.8,0.00,0.00,5.8,34,8.6,10.8
2023-07-06T02:00,10.7,0.00,0.00,6.5,55,9.7,10.9
2023-07-06T03:00,10.5,0.00,0.00,7.9,52,13.3,11.6
2023-07-06T04:00,11.9,0.00,0.00,10.8,52,18.4,12.5
2023-07-06T05:00,12.6,0.00,0.00,13.0,34,23.0,13.4
2023-07-06T06:00,13.7,0.00,0.00,13.3,30,24.8,14.6
2023-07-06T07:00,14.7,0.00,0.00,14.0,25,25.9,15.6
2023-07-06T08:00,15.3,0.00,0.00,16.6,20,30.6,16.7
2023-07-06T09:00,15.6,0.00,0.00,20.5,9,36.4,17.8
2023-07-06T10:00,16.1,0.00,0.00,22.0,7,38.5,18.5
2023-07-06T11:00,16.1,0.00,0.00,23.0,6,40.0,19.0
2023-07-06T12:00,16.3,0.00,0.00,22.3,9,39.6,19.2
2023-07-06T13:00,16.8,0.00,0.00,22.0,9,39.2,19.2
2023-07-06T14:00,17.2,0.00,0.00,21.6,10,38.5,19.1
2023-07-06T15:00,17.3,0.00,0.00,25.9,11,38.9,18.5
2023-07-06T16:00,17.0,0.00,0.00,26.3,11,37.8,18.0
2023-07-06T17:00,16.3,0.00,0.00,25.2,10,37.4,17.4
2023-07-06T18:00,16.0,0.00,0.00,19.1,9,34.2,16.7
2023-07-06T19:00,16.9,0.00,0.00,16.9,6,32.0,15.8
2023-07-06T20:00,16.0,0.00,0.00,14.0,360,28.1,14.8
2023-07-06T21:00,14.5,0.00,0.00,11.2,357,25.6,13.9
2023-07-06T22:00,13.2,0.00,0.00,11.2,348,18.0,13.2
2023-07-06T23:00,12.4,0.00,0.00,11.5,342,18.4,12.6
2023-07-07T00:00,11.7,0.00,0.00,11.2,345,19.1,12.3
2023-07-07T01:00,11.3,0.00,0.00,9.7,346,18.4,12.0
2023-07-07T02:00,11.4,0.00,0.00,8.6,346,15.1,12.1
2023-07-07T03:00,12.3,0.00,0.00,7.9,349,15.5,12.9
2023-07-07T04:00,13.5,0.00,0.00,6.8,342,12.6,14.0
2023-07-07T05:00,14.5,0.00,0.00,7.6,347,13.7,14.7
2023-07-07T06:00,15.0,0.00,0.00,8.3,342,16.2,15.4
2023-07-07T07:00,16.6,0.00,0.00,9.4,346,18.0,16.2
2023-07-07T08:00,17.1,0.00,0.00,10.4,344,19.8,16.7
2023-07-07T09:00,15.6,0.00,0.00,12.2,342,23.0,17.7
2023-07-07T10:00,15.4,0.00,0.00,13.7,339,25.9,18.3
2023-07-07T11:00,15.9,0.00,0.00,15.5,339,28.8,18.7
2023-07-07T12:00,15.8,0.00,0.00,18.4,338,33.1,19.2
2023-07-07T13:00,15.2,0.00,0.00,19.4,337,34.9,19.2
2023-07-07T14:00,14.7,0.00,0.00,19.8,337,35.3,18.8
2023-07-07T15:00,14.1,0.00,0.00,19.4,337,34.9,17.9
2023-07-07T16:00,13.7,0.00,0.00,18.4,338,34.2,17.3
2023-07-07T17:00,13.3,0.00,0.00,17.6,342,32.4,16.5
2023-07-07T18:00,12.9,0.00,0.00,16.2,342,31.0,15.3
2023-07-07T19:00,12.5,0.00,0.00,15.5,339,28.1,14.7
2023-07-07T20:00,12.2,0.00,0.00,14.0,335,26.3,14.2
2023-07-07T21:00,12.0,0.00,0.00,11.2,333,22.7,13.6
2023-07-07T22:00,11.9,0.00,0.00,7.9,332,18.7,13.4
2023-07-07T23:00,11.7,0.00,0.00,7.2,306,14.0,13.3
2023-07-08T00:00,11.8,0.00,0.00,7.2,294,13.0,13.2
2023-07-08T01:00,11.7,0.00,0.00,8.3,295,14.0,13.1
2023-07-08T02:00,11.6,0.00,0.00,6.8,291,14.4,13.0
2023-07-08T03:00,11.6,0.00,0.00,6.8,288,12.2,12.8
2023-07-08T04:00,11.5,0.00,0.00,6.8,283,12.2,13.0
2023-07-08T05:00,11.9,0.00,0.00,6.5,280,13.0,13.4
2023-07-08T06:00,12.5,0.00,0.00,6.8,296,13.3,13.0
2023-07-08T07:00,13.1,0.00,0.00,6.8,303,13.3,13.5
2023-07-08T08:00,12.9,0.00,0.00,6.1,305,13.3,13.5
2023-07-08T09:00,13.1,0.00,0.00,9.4,300,18.4,13.8
2023-07-08T10:00,13.4,0.00,0.00,10.1,307,19.1,14.0
2023-07-08T11:00,14.3,0.00,0.00,10.1,324,19.1,14.4
2023-07-08T12:00,14.3,0.00,0.00,10.8,334,20.2,14.4
2023-07-08T13:00,14.3,0.00,0.00,11.9,332,22.7,14.6
2023-07-08T14:00,15.4,0.00,0.00,13.3,333,25.2,14.4
2023-07-08T15:00,15.3,0.00,0.00,13.3,346,25.6,14.4
2023-07-08T16:00,14.4,0.00,0.00,13.7,348,25.9,15.0
2023-07-08T17:00,14.0,0.00,0.00,14.4,350,25.9,14.6
2023-07-08T18:00,13.4,0.00,0.00,14.8,351,26.3,14.0
2023-07-08T19:00,12.5,0.00,0.00,14.8,348,25.9,13.3
2023-07-08T20:00,12.0,0.00,0.00,12.6,1,24.8,12.8
2023-07-08T21:00,11.7,0.00,0.00,9.7,17,21.2,12.3
2023-07-08T22:00,11.3,0.00,0.00,7.6,10,15.5,11.9
2023-07-08T23:00,11.3,0.00,0.00,7.6,22,11.9,11.5
2023-07-09T00:00,11.2,0.00,0.00,5.8,47,9.4,11.4
2023-07-09T01:00,11.2,0.00,0.00,7.2,22,11.2,11.4
2023-07-09T02:00,11.2,0.00,0.00,10.1,14,16.6,11.5
2023-07-09T03:00,11.2,0.00,0.00,10.1,15,16.6,11.9
2023-07-09T04:00,11.4,0.00,0.00,9.4,23,16.6,12.4
2023-07-09T05:00,11.8,0.00,0.00,10.1,12,18.7,13.0
2023-07-09T06:00,12.5,0.00,0.00,11.2,6,21.2,13.5
2023-07-09T07:00,12.9,0.00,0.00,12.2,8,23.4,14.3
2023-07-09T08:00,13.2,0.00,0.00,13.7,4,25.9,15.3
2023-07-09T09:00,14.6,0.00,0.00,14.4,3,27.0,16.0
2023-07-09T10:00,14.9,0.00,0.00,15.8,3,29.2,15.8
2023-07-09T11:00,15.1,0.00,0.00,17.3,3,32.4,15.8
2023-07-09T12:00,15.0,0.00,0.00,19.1,1,34.9,16.0
2023-07-09T13:00,15.1,0.00,0.00,20.2,2,36.0,16.5
2023-07-09T14:00,15.0,0.00,0.00,20.5,6,36.4,16.9
2023-07-09T15:00,15.1,0.00,0.00,20.9,7,36.4,17.3
2023-07-09T16:00,15.0,0.00,0.00,20.5,8,36.4,16.6
2023-07-09T17:00,14.9,0.00,0.00,20.2,10,35.6,16.0
2023-07-09T18:00,14.6,0.00,0.00,20.5,7,35.3,15.1
2023-07-09T19:00,14.3,0.00,0.00,19.4,5,34.6,14.3
2023-07-09T20:00,13.8,0.00,0.00,16.9,14,32.0,13.3
2023-07-09T21:00,12.5,0.00,0.00,14.0,5,26.3,12.7
2023-07-09T22:00,11.8,0.00,0.00,13.7,4,23.8,12.1
2023-07-09T23:00,11.3,0.00,0.00,13.3,1,22.0,11.8
2023-07-10T00:00,11.1,0.00,0.00,15.1,5,24.1,11.8
2023-07-10T01:00,10.8,0.00,0.00,10.8,10,24.1,11.7
2023-07-10T02:00,10.9,0.00,0.00,15.1,1,24.1,11.8
2023-07-10T03:00,11.3,0.00,0.00,7.9,20,22.0,12.4
2023-07-10T04:00,12.1,0.00,0.00,6.5,3,11.9,13.3
2023-07-10T05:00,13.5,0.00,0.00,8.6,345,14.8,14.3
2023-07-10T06:00,15.4,0.00,0.00,10.1,353,17.3,16.0
2023-07-10T07:00,17.6,0.00,0.00,7.9,26,17.3,16.9
2023-07-10T08:00,19.1,0.00,0.00,6.8,21,15.1,18.0
2023-07-10T09:00,19.8,0.00,0.00,8.6,2,17.6,19.5
2023-07-10T10:00,20.7,0.00,0.00,10.1,4,19.8,20.3
2023-07-10T11:00,21.9,0.00,0.00,11.2,6,22.7,20.9
2023-07-10T12:00,22.2,0.00,0.00,11.5,17,22.3,21.8
2023-07-10T13:00,21.5,0.00,0.00,16.6,359,29.2,21.6
2023-07-10T14:00,21.5,0.00,0.00,18.0,4,32.0,21.3
2023-07-10T15:00,22.8,0.00,0.00,18.0,10,31.3,20.9
2023-07-10T16:00,23.5,0.00,0.00,17.6,16,32.0,20.2
2023-07-10T17:00,24.3,0.00,0.00,14.8,30,29.9,19.5
2023-07-10T18:00,21.9,0.00,0.00,11.9,359,23.4,19.0
2023-07-10T19:00,19.9,0.00,0.00,10.1,358,20.2,17.8
2023-07-10T20:00,18.5,0.00,0.00,9.4,331,16.6,16.7
2023-07-10T21:00,16.7,0.00,0.00,9.4,336,16.2,15.4
2023-07-10T22:00,15.6,0.00,0.00,7.9,331,14.8,14.2
2023-07-10T23:00,14.3,0.00,0.00,9.7,316,15.5,13.5
2023-07-11T00:00,13.7,0.00,0.00,3.2,184,12.6,13.7
2023-07-11T01:00,13.5,0.00,0.00,5.4,179,8.6,14.0
2023-07-11T02:00,14.2,0.00,0.00,9.0,173,14.4,14.2
2023-07-11T03:00,14.7,0.00,0.00,9.7,177,16.6,14.5
2023-07-11T04:00,15.1,0.00,0.00,9.0,172,16.2,15.1
2023-07-11T05:00,15.6,0.00,0.00,13.3,173,22.7,16.1
2023-07-11T06:00,16.6,0.00,0.00,11.5,170,23.0,16.9
2023-07-11T07:00,18.3,0.00,0.00,11.2,174,20.9,17.6
2023-07-11T08:00,18.9,0.00,0.00,10.1,182,20.9,17.8
2023-07-11T09:00,21.0,0.00,0.00,7.2,196,19.4,19.7
2023-07-11T10:00,21.9,0.00,0.00,3.6,193,15.5,21.0
2023-07-11T11:00,22.1,0.00,0.00,3.2,154,11.9,21.8
2023-07-11T12:00,22.5,0.00,0.00,7.2,357,15.1,21.7
2023-07-11T13:00,23.9,0.00,0.00,8.6,8,16.9,22.8
2023-07-11T14:00,23.9,0.50,0.00,13.3,113,38.5,22.5
2023-07-11T15:00,22.9,0.10,0.00,22.3,133,39.2,22.1
2023-07-11T16:00,23.5,0.10,0.00,26.3,80,44.3,21.5
2023-07-11T17:00,24.1,0.00,0.00,26.6,73,46.4,20.8
2023-07-11T18:00,21.8,0.00,0.00,19.8,75,37.4,20.0
2023-07-11T19:00,21.9,0.00,0.00,20.5,76,34.2,19.2
2023-07-11T20:00,22.1,0.00,0.00,15.8,84,33.8,18.4
2023-07-11T21:00,20.6,0.00,0.00,11.9,123,25.2,17.7
2023-07-11T22:00,18.8,0.00,0.00,13.0,139,21.6,16.9
2023-07-11T23:00,17.7,0.00,0.00,14.0,142,23.4,16.6
2023-07-12T00:00,19.5,0.00,0.00,16.2,143,27.4,16.6
2023-07-12T01:00,20.3,0.00,0.00,17.3,146,29.2,16.8
2023-07-12T02:00,20.0,0.00,0.00,18.4,141,31.3,16.6
2023-07-12T03:00,19.7,0.00,0.00,16.9,134,29.9,16.9
2023-07-12T04:00,19.9,0.00,0.00,18.4,139,31.0,17.0
2023-07-12T05:00,20.0,0.00,0.00,19.1,134,32.4,17.2
2023-07-12T06:00,19.8,0.00,0.00,20.9,145,35.6,17.2
2023-07-12T07:00,20.3,0.00,0.00,25.6,154,44.6,17.1
2023-07-12T08:00,20.2,0.00,0.00,26.6,156,46.8,17.2
2023-07-12T09:00,21.3,0.00,0.00,24.5,155,46.8,18.0
2023-07-12T10:00,20.7,0.00,0.00,27.4,160,47.2,19.5
2023-07-12T11:00,20.8,0.00,0.00,29.9,163,53.3,19.6
2023-07-12T12:00,22.0,0.00,0.00,28.4,169,52.9,19.2
2023-07-12T13:00,22.8,0.00,0.00,26.3,166,51.1,19.8
2023-07-12T14:00,23.0,0.00,0.00,25.2,176,46.8,19.4
2023-07-12T15:00,20.5,0.00,0.00,20.2,169,37.1,18.4
2023-07-12T16:00,18.6,0.00,0.00,19.8,161,35.3,18.0
2023-07-12T17:00,19.2,0.00,0.00,19.4,156,34.9,17.6
2023-07-12T18:00,19.1,0.00,0.00,12.6,154,25.9,17.2
2023-07-12T19:00,18.5,0.00,0.00,16.2,159,27.4,16.7
2023-07-12T20:00,17.2,0.10,0.00,5.8,149,27.4,16.2
2023-07-12T21:00,16.6,0.40,0.00,9.4,127,15.1,15.9
2023-07-12T22:00,16.2,0.40,0.00,10.4,104,16.6,15.7
2023-07-12T23:00,15.7,0.10,0.00,12.6,96,20.5,15.6
2023-07-13T00:00,15.8,0.10,0.00,11.2,104,20.2,15.4
2023-07-13T01:00,15.5,0.00,0.00,10.8,136,19.4,15.3
2023-07-13T02:00,15.4,0.00,0.00,12.6,153,21.2,15.1
2023-07-13T03:00,15.3,0.20,0.00,12.6,139,21.2,15.1
2023-07-13T04:00,15.8,0.00,0.00,13.3,137,23.0,15.3
2023-07-13T05:00,16.0,0.00,0.00,14.0,143,23.8,15.8
2023-07-13T06:00,17.0,0.00,0.00,19.4,135,33.8,16.8
2023-07-13T07:00,19.4,0.00,0.00,19.1,137,36.4,17.8
2023-07-13T08:00,18.9,0.00,0.00,16.6,160,34.2,18.0
2023-07-13T09:00,18.8,0.10,0.00,7.9,160,28.8,18.1
2023-07-13T10:00,18.9,0.00,0.00,1.8,38,13.3,18.3
2023-07-13T11:00,19.9,0.00,0.00,5.8,343,9.7,18.4
2023-07-13T12:00,19.4,0.00,0.00,13.7,12,22.3,18.5
2023-07-13T13:00,18.7,0.00,0.00,16.9,9,27.0,17.6
2023-07-13T14:00,19.6,0.00,0.00,19.1,30,32.0,17.1
2023-07-13T15:00,20.0,0.00,0.00,17.6,38,30.6,17.3
2023-07-13T16:00,19.5,0.00,0.00,24.5,71,41.0,16.9
2023-07-13T17:00,19.9,0.00,0.00,27.4,70,50.4,16.7
2023-07-13T18:00,19.4,0.00,0.00,20.2,62,37.1,17.0
2023-07-13T19:00,19.0,0.00,0.00,17.6,65,34.2,16.7
2023-07-13T20:00,18.4,0.00,0.00,16.2,76,29.2,16.2
2023-07-13T21:00,17.7,0.00,0.00,15.8,77,27.0,15.2
2023-07-13T22:00,17.9,0.00,0.00,16.2,77,27.4,14.2
2023-07-13T23:00,17.7,0.00,0.00,13.3,82,26.6,13.6
2023-07-14T00:00,17.3,0.00,0.00,9.4,94,18.7,14.1
2023-07-14T01:00,16.9,0.00,0.00,7.9,131,14.8,13.6
2023-07-14T02:00,16.5,0.00,0.00,17.3,181,29.5,13.4
2023-07-14T03:00,15.6,0.00,0.00,14.8,191,25.6,14.3
2023-07-14T04:00,15.2,0.00,0.00,17.3,191,29.9,15.1
2023-07-14T05:00,15.3,0.00,0.00,18.4,176,32.4,15.5
2023-07-14T06:00,15.1,0.00,0.00,19.4,181,34.2,15.7
2023-07-14T07:00,15.3,0.00,0.00,16.9,190,33.5,16.1
2023-07-14T08:00,15.6,0.10,0.00,18.7,186,32.4,16.1
2023-07-14T09:00,16.5,0.00,0.00,20.9,188,37.1,15.6
2023-07-14T10:00,16.7,0.00,0.00,25.6,188,44.6,15.1
2023-07-14T11:00,14.4,0.10,0.00,29.2,242,48.6,14.9
2023-07-14T12:00,13.5,0.20,0.00,31.0,229,52.2,14.4
2023-07-14T13:00,13.5,0.50,0.00,31.0,230,53.3,14.7
2023-07-14T14:00,12.7,0.50,0.00,29.5,229,51.5,14.5
2023-07-14T15:00,12.9,0.10,0.00,27.4,235,52.6,14.0
2023-07-14T16:00,12.5,0.00,0.00,28.1,236,49.7,14.0
2023-07-14T17:00,12.7,0.00,0.00,22.3,238,46.8,14.0
2023-07-14T18:00,12.5,0.00,0.00,22.3,225,38.2,13.6
2023-07-14T19:00,12.1,0.00,0.00,21.2,221,37.8,13.5
2023-07-14T20:00,12.0,0.00,0.00,19.8,224,35.6,13.2
2023-07-14T21:00,11.9,0.00,0.00,18.0,222,31.7,12.9
2023-07-14T22:00,11.8,0.00,0.00,17.6,221,30.2,12.8
2023-07-14T23:00,11.7,0.00,0.00,17.6,227,30.6,12.4
2023-07-15T00:00,11.5,0.00,0.00,15.8,225,27.4,12.3
2023-07-15T01:00,11.5,0.00,0.00,14.0,218,26.3,12.3
2023-07-15T02:00,11.6,0.00,0.00,13.0,212,24.1,12.2
2023-07-15T03:00,11.7,0.00,0.00,14.4,214,23.8,12.2
2023-07-15T04:00,11.8,0.00,0.00,14.8,210,24.8,12.4
2023-07-15T05:00,12.6,0.00,0.00,12.2,206,24.5,12.7
2023-07-15T06:00,13.2,0.10,0.00,12.6,198,23.4,13.3
2023-07-15T07:00,13.6,0.10,0.00,13.3,193,24.1,13.9
2023-07-15T08:00,14.4,0.10,0.00,13.0,204,25.6,14.6
2023-07-15T09:00,15.5,0.00,0.00,10.8,221,23.8,16.0
2023-07-15T10:00,16.5,0.00,0.00,8.6,224,21.6,16.9
2023-07-15T11:00,17.3,0.00,0.00,9.0,252,20.9,17.5
2023-07-15T12:00,17.2,0.00,0.00,7.9,281,20.2,18.0
2023-07-15T13:00,17.4,0.00,0.00,8.6,328,20.5,18.2
2023-07-15T14:00,17.3,0.00,0.00,11.2,351,23.8,18.2
2023-07-15T15:00,16.6,0.00,0.00,13.7,358,25.9,18.0
2023-07-15T16:00,16.9,0.00,0.00,13.0,16,26.3,17.6
2023-07-15T17:00,16.7,0.00,0.00,15.1,23,26.6,16.9
2023-07-15T18:00,16.5,0.00,0.00,15.1,30,27.7,16.0
2023-07-15T19:00,15.7,0.00,0.00,14.8,25,25.6,15.3
2023-07-15T20:00,15.3,0.00,0.00,14.4,31,24.8,14.6
2023-07-15T21:00,14.6,0.00,0.00,11.9,52,24.5,13.9
2023-07-15T22:00,15.3,0.00,0.00,13.7,83,23.4,13.6
2023-07-15T23:00,15.9,0.00,0.00,13.3,84,23.8,13.5
2023-07-16T00:00,16.3,0.00,0.00,12.2,111,21.6,13.6
2023-07-16T01:00,16.9,0.00,0.00,15.1,127,25.6,13.9
2023-07-16T02:00,17.1,0.00,0.00,15.8,129,26.6,14.1
2023-07-16T03:00,17.4,0.00,0.00,15.5,116,27.4,14.4
2023-07-16T04:00,17.5,0.00,0.00,16.6,131,28.8,14.5
2023-07-16T05:00,17.6,0.00,0.00,18.4,136,31.3,14.7
2023-07-16T06:00,18.5,0.00,0.00,19.8,128,33.8,15.5
2023-07-16T07:00,18.6,0.00,0.00,20.2,135,35.6,15.7
2023-07-16T08:00,19.0,0.20,0.00,22.0,152,37.4,15.2
2023-07-16T09:00,18.4,1.50,0.00,11.9,146,26.3,15.6
2023-07-16T10:00,17.6,0.60,0.00,10.8,100,20.5,15.9
2023-07-16T11:00,17.1,0.10,0.00,8.6,121,18.4,16.6
2023-07-16T12:00,17.1,0.00,0.00,6.5,133,12.2,16.1
2023-07-16T13:00,17.5,0.00,0.00,6.5,144,12.2,16.2
2023-07-16T14:00,17.0,0.10,0.00,7.6,121,13.0,16.9
2023-07-16T15:00,16.9,0.00,0.00,6.5,136,14.8,16.5
